Time	Channel A
(s)	(V)

0.00000000	0.03746309
0.00133334	0.03746309
0.00266667	0.03746309
0.00400001	0.03746309
0.00533334	0.03746309
0.00666668	0.03746309
0.00800002	0.03746309
0.00933335	0.03746309
0.01066669	0.03746309
0.01200002	0.03746309
0.01333336	0.03746309
0.01466670	0.03746309
0.01600003	0.03746309
0.01733337	-0.01870079
0.01866670	0.03746309
0.02000004	0.03746309
0.02133338	0.03746309
0.02266671	0.03746309
0.02400005	0.03746309
0.02533338	0.03746309
0.02666672	0.03746309
0.02800006	0.03746309
0.02933339	0.03746309
0.03066673	0.03746309
0.03200006	0.03746309
0.03333340	0.03746309
0.03466674	0.03746309
0.03600007	0.03746309
0.03733341	0.05622539
0.03866674	0.03746309
0.04000008	0.03746309
0.04133342	0.03746309
0.04266675	0.03746309
0.04400009	0.03746309
0.04533342	0.03746309
0.04666676	0.03746309
0.04800010	0.03746309
0.04933343	0.03746309
0.05066677	0.03746309
0.05200010	0.03746309
0.05333344	0.03746309
0.05466678	0.03746309
0.05600011	0.03746309
0.05733345	0.03746309
0.05866678	0.03746309
0.06000012	0.03746309
0.06133346	0.03746309
0.06266679	0.03746309
0.06400013	0.03746309
0.06533346	0.07492618
0.06666680	0.03746309
0.06800014	0.03746309
0.06933347	0.03746309
0.07066681	0.03746309
0.07200014	0.03746309
0.07333348	0.03746309
0.07466682	0.03746309
0.07600015	0.03746309
0.07733349	0.03746309
0.07866682	0.03746309
0.08000016	0.03746309
0.08133350	0.03746309
0.08266683	0.05622539
0.08400017	0.03746309
0.08533350	0.03746309
0.08666684	0.03746309
0.08800018	0.03746309
0.08933351	0.03746309
0.09066685	0.05622539
0.09200018	0.03746309
0.09333352	0.03746309
0.09466686	0.03746309
0.09600019	0.09368848
0.09733353	0.03746309
0.09866686	0.03746309
0.10000020	0.03746309
0.10133354	0.03746309
0.10266687	0.03746309
0.10400021	0.03746309
0.10533354	0.03746309
0.10666688	0.03746309
0.10800022	0.03746309
0.10933355	0.03746309
0.11066689	0.03746309
0.11200022	0.03746309
0.11333356	0.03746309
0.11466690	0.03746309
0.11600023	0.03746309
0.11733357	0.03746309
0.11866690	0.03746309
0.12000024	0.03746309
0.12133358	0.03746309
0.12266691	0.03746309
0.12400025	0.03746309
0.12533358	0.03746309
0.12666692	0.03746309
0.12800026	0.03746309
0.12933359	0.03746309
0.13066693	0.03746309
0.13200026	0.01870079
0.13333360	0.03746309
0.13466694	0.03746309
0.13600027	0.03746309
0.13733361	0.03746309
0.13866694	0.03746309
0.14000028	0.03746309
0.14133362	0.03746309
0.14266695	0.03746309
0.14400029	0.03746309
0.14533362	0.03746309
0.14666696	0.05622539
0.14800030	0.03746309
0.14933363	0.03746309
0.15066697	0.03746309
0.15200030	0.03746309
0.15333364	0.03746309
0.15466698	0.03746309
0.15600031	0.03746309
0.15733365	0.03746309
0.15866698	0.03746309
0.16000032	0.03746309
0.16133366	0.03746309
0.16266699	0.03746309
0.16400033	0.03746309
0.16533366	0.03746309
0.16666700	0.03746309
0.16800034	0.03746309
0.16933367	0.03746309
0.17066701	0.03746309
0.17200034	0.03746309
0.17333368	0.03746309
0.17466702	0.03746309
0.17600035	0.03746309
0.17733369	0.03746309
0.17866702	0.03746309
0.18000036	0.03746309
0.18133370	0.03746309
0.18266703	0.03746309
0.18400037	0.03746309
0.18533370	0.03746309
0.18666704	0.03746309
0.18800038	0.03746309
0.18933371	0.03746309
0.19066705	0.03746309
0.19200038	0.03746309
0.19333372	0.01870079
0.19466706	0.03746309
0.19600039	0.03746309
0.19733373	0.03746309
0.19866706	0.03746309
0.20000040	0.03746309
0.20133374	0.05622539
0.20266707	0.03746309
0.20400041	0.03746309
0.20533374	0.03746309
0.20666708	0.03746309
0.20800042	0.03746309
0.20933375	0.03746309
0.21066709	0.03746309
0.21200042	0.03746309
0.21333376	0.03746309
0.21466710	0.03746309
0.21600043	0.03746309
0.21733377	0.03746309
0.21866710	0.03746309
0.22000044	0.03746309
0.22133378	0.05622539
0.22266711	0.03746309
0.22400045	0.03746309
0.22533378	0.03746309
0.22666712	0.03746309
0.22800046	0.03746309
0.22933379	0.03746309
0.23066713	0.01870079
0.23200046	0.03746309
0.23333380	0.03746309
