"","Channel A Last (mV)"
"00:00:00.000","1703.696"
"00:00:00.010","1694.388"
"00:00:00.020","1694.388"
"00:00:00.030","1694.388"
"00:00:00.040","1685.079"
"00:00:00.050","1713.004"
"00:00:00.060","1685.079"
"00:00:00.070","1675.771"
"00:00:00.080","1685.079"
"00:00:00.090","1694.388"
"00:00:00.100","1675.771"
"00:00:00.110","1713.004"
"00:00:00.120","1685.079"
"00:00:00.130","1703.696"
"00:00:00.140","1694.388"
"00:00:00.150","1731.620"
"00:00:00.160","1685.079"
"00:00:00.170","1685.079"
"00:00:00.180","1713.004"
"00:00:00.190","1685.079"
"00:00:00.200","1685.079"
"00:00:00.210","1713.004"
"00:00:00.220","1685.079"
"00:00:00.230","1685.079"
"00:00:00.240","1675.771"
"00:00:00.250","1703.696"
"00:00:00.260","1694.388"
"00:00:00.270","1691.285"
"00:00:00.280","1685.079"
"00:00:00.290","1694.388"
"00:00:00.300","1694.388"
"00:00:00.310","1675.771"
"00:00:00.320","1685.079"
"00:00:00.330","1694.388"
"00:00:00.340","1703.696"
"00:00:00.350","1703.696"
"00:00:00.360","1703.696"
"00:00:00.370","1694.388"
"00:00:00.380","1694.388"
"00:00:00.390","1685.079"
"00:00:00.400","1685.079"
"00:00:00.410","1703.696"
"00:00:00.420","1703.696"
"00:00:00.430","1694.388"
"00:00:00.440","1703.696"
"00:00:00.450","1722.312"
"00:00:00.460","1703.696"
"00:00:00.470","1685.079"
"00:00:00.480","1685.079"
"00:00:00.490","1685.079"
"00:00:00.500","1694.388"
"00:00:00.510","1675.771"
"00:00:00.520","1685.079"
"00:00:00.530","1694.388"
"00:00:00.540","1694.388"
"00:00:00.550","1694.388"
"00:00:00.560","1713.004"
"00:00:00.570","1722.312"
"00:00:00.580","1713.004"
"00:00:00.590","1694.388"
"00:00:00.600","1694.388"
"00:00:00.610","1685.079"
"00:00:00.620","1703.696"
"00:00:00.630","1713.004"
"00:00:00.640","1694.388"
"00:00:00.650","1713.004"
"00:00:00.660","1703.696"
"00:00:00.670","1694.388"
"00:00:00.680","1713.004"
"00:00:00.690","1694.388"
"00:00:00.700","1703.696"
"00:00:00.710","1675.771"
"00:00:00.720","1685.079"
"00:00:00.730","1694.388"
"00:00:00.740","1694.388"
"00:00:00.750","1675.771"
"00:00:00.760","1722.312"
"00:00:00.770","1703.696"
"00:00:00.780","1710.677"
"00:00:00.790","1703.696"
"00:00:00.800","1694.388"
"00:00:00.810","1703.696"
"00:00:00.820","1675.771"
"00:00:00.830","1685.079"
"00:00:00.840","1694.388"
"00:00:00.850","1703.696"
"00:00:00.860","1694.388"
"00:00:00.870","1694.388"
"00:00:00.880","1685.079"
"00:00:00.890","1713.004"
"00:00:00.900","1703.696"
"00:00:00.910","1703.696"
"00:00:00.920","1694.388"
"00:00:00.930","1713.004"
"00:00:00.940","1685.079"
"00:00:00.950","1694.388"
"00:00:00.960","1694.388"
