"","Channel A Last (mV)"
"00:00:00.000","37.233"
"00:00:00.010","18.616"
"00:00:00.020","27.924"
"00:00:00.030","27.924"
"00:00:00.040","9.308"
"00:00:00.050","9.308"
"00:00:00.060","18.616"
"00:00:00.070","18.616"
"00:00:00.080","0"
"00:00:00.090","18.616"
"00:00:00.100","9.308"
"00:00:00.110","27.924"
"00:00:00.120","46.541"
"00:00:00.130","18.616"
"00:00:00.140","55.849"
"00:00:00.150","37.233"
"00:00:00.160","55.849"
"00:00:00.170","18.616"
"00:00:00.180","18.616"
"00:00:00.190","37.233"
"00:00:00.200","37.233"
"00:00:00.210","27.924"
"00:00:00.220","37.233"
"00:00:00.230","74.465"
"00:00:00.240","18.616"
"00:00:00.250","37.233"
"00:00:00.260","46.541"
"00:00:00.270","27.924"
"00:00:00.280","37.233"
"00:00:00.290","55.849"
"00:00:00.300","27.924"
"00:00:00.310","27.924"
"00:00:00.320","27.924"
"00:00:00.330","37.233"
"00:00:00.340","27.924"
"00:00:00.350","37.233"
"00:00:00.360","55.849"
"00:00:00.370","37.233"
"00:00:00.380","27.924"
"00:00:00.390","9.308"
"00:00:00.400","46.541"
"00:00:00.410","27.924"
"00:00:00.420","37.233"
"00:00:00.430","46.541"
"00:00:00.440","27.924"
"00:00:00.450","46.541"
"00:00:00.460","37.233"
"00:00:00.470","46.541"
"00:00:00.480","18.616"
"00:00:00.490","46.541"
"00:00:00.500","27.924"
"00:00:00.510","9.308"
"00:00:00.520","18.616"
"00:00:00.530","18.616"
"00:00:00.540","55.849"
"00:00:00.550","0"
"00:00:00.560","0"
"00:00:00.570","18.616"
"00:00:00.580","37.233"
"00:00:00.590","27.924"
"00:00:00.600","37.233"
"00:00:00.610","46.541"
"00:00:00.620","27.924"
"00:00:00.630","55.849"
"00:00:00.640","18.616"
"00:00:00.650","46.541"
"00:00:00.660","27.924"
"00:00:00.670","27.924"
"00:00:00.680","55.849"
"00:00:00.690","27.924"
"00:00:00.700","18.616"
"00:00:00.710","46.541"
"00:00:00.720","55.849"
"00:00:00.730","37.233"
"00:00:00.740","37.233"
"00:00:00.750","18.616"
"00:00:00.760","9.308"
"00:00:00.770","37.233"
"00:00:00.780","37.233"
"00:00:00.790","27.924"
"00:00:00.800","18.616"
"00:00:00.810","46.541"
"00:00:00.820","46.541"
"00:00:00.830","0"
"00:00:00.840","27.924"
"00:00:00.850","46.541"
"00:00:00.860","46.541"
"00:00:00.870","37.233"
"00:00:00.880","37.233"
"00:00:00.890","18.616"
"00:00:00.900","37.233"
"00:00:00.910","37.233"
"00:00:00.920","37.233"
"00:00:00.930","37.233"
"00:00:00.940","37.233"
"00:00:00.950","37.233"
"00:00:00.960","27.924"
"00:00:00.970","18.616"
"00:00:00.980","27.924"
"00:00:00.990","18.616"
"00:00:01.000","37.233"
"00:00:01.010","27.924"
"00:00:01.020","18.616"
"00:00:01.030","37.233"
"00:00:01.040","18.616"
"00:00:01.050","55.849"
"00:00:01.060","27.924"
"00:00:01.070","46.541"
"00:00:01.080","9.308"
"00:00:01.090","55.849"
"00:00:01.100","46.541"
"00:00:01.110","37.233"
"00:00:01.120","18.616"
"00:00:01.130","18.616"
"00:00:01.140","0"
"00:00:01.150","27.924"
"00:00:01.160","46.541"
"00:00:01.170","18.616"
"00:00:01.180","55.849"
"00:00:01.190","18.616"
"00:00:01.200","27.924"
"00:00:01.210","37.233"
"00:00:01.220","46.541"
"00:00:01.230","37.233"
"00:00:01.240","27.924"
"00:00:01.250","27.924"
"00:00:01.260","27.924"
"00:00:01.270","18.616"
"00:00:01.280","18.616"
"00:00:01.290","37.233"
"00:00:01.300","37.233"
"00:00:01.310","18.616"
"00:00:01.320","9.308"
"00:00:01.330","46.541"
"00:00:01.340","27.924"
"00:00:01.350","9.308"
"00:00:01.360","55.849"
"00:00:01.370","46.541"
"00:00:01.380","18.616"
"00:00:01.390","27.924"
"00:00:01.400","37.233"
"00:00:01.410","46.541"
"00:00:01.420","27.924"
"00:00:01.430","18.616"
"00:00:01.440","9.308"
"00:00:01.450","65.157"
"00:00:01.460","37.233"
"00:00:01.470","27.924"
"00:00:01.480","9.308"
"00:00:01.490","0"
"00:00:01.500","18.616"
"00:00:01.510","0"
"00:00:01.520","37.233"
"00:00:01.530","18.616"
"00:00:01.540","27.924"
"00:00:01.550","37.233"
"00:00:01.560","46.541"
"00:00:01.570","37.233"
"00:00:01.580","0"
"00:00:01.590","18.616"
"00:00:01.600","37.233"
"00:00:01.610","27.924"
"00:00:01.620","18.616"
"00:00:01.630","46.541"
"00:00:01.640","55.849"
"00:00:01.650","27.924"
"00:00:01.660","27.924"
"00:00:01.670","18.616"
"00:00:01.680","18.616"
"00:00:01.690","9.308"
"00:00:01.700","18.616"
"00:00:01.710","18.616"
"00:00:01.720","18.616"
"00:00:01.730","9.308"
"00:00:01.740","55.849"
"00:00:01.750","65.157"
"00:00:01.760","0"
"00:00:01.770","9.308"
"00:00:01.780","37.233"
"00:00:01.790","37.233"
"00:00:01.800","46.541"
"00:00:01.810","27.924"
"00:00:01.820","9.308"
"00:00:01.830","37.233"
"00:00:01.840","46.541"
"00:00:01.850","18.616"
"00:00:01.860","37.233"
"00:00:01.870","55.849"
"00:00:01.880","37.233"
"00:00:01.890","18.616"
"00:00:01.900","37.233"
"00:00:01.910","37.233"
"00:00:01.920","37.233"
"00:00:01.930","37.233"
"00:00:01.940","27.924"
"00:00:01.950","37.233"
"00:00:01.960","9.308"
"00:00:01.970","37.233"
"00:00:01.980","37.233"
"00:00:01.990","27.924"
"00:00:02.000","9.308"
"00:00:02.010","46.541"
"00:00:02.020","37.233"
"00:00:02.030","27.924"
"00:00:02.040","18.616"
"00:00:02.050","27.924"
"00:00:02.060","37.233"
"00:00:02.070","9.308"
"00:00:02.080","37.233"
"00:00:02.090","27.924"
"00:00:02.100","18.616"
"00:00:02.110","46.541"
"00:00:02.120","46.541"
"00:00:02.130","27.924"
"00:00:02.140","37.233"
"00:00:02.150","55.849"
"00:00:02.160","37.233"
"00:00:02.170","18.616"
"00:00:02.180","18.616"
"00:00:02.190","37.233"
"00:00:02.200","27.924"
"00:00:02.210","18.616"
"00:00:02.220","18.616"
"00:00:02.230","37.233"
"00:00:02.240","0"
"00:00:02.250","27.924"
"00:00:02.260","9.308"
"00:00:02.270","9.308"
"00:00:02.280","18.616"
"00:00:02.290","27.924"
"00:00:02.300","37.233"
"00:00:02.310","46.541"
"00:00:02.320","18.616"
"00:00:02.330","55.849"
"00:00:02.340","18.616"
"00:00:02.350","46.541"
"00:00:02.360","27.924"
"00:00:02.370","37.233"
"00:00:02.380","27.924"
