"","Channel A Last (mV)"
"00:00:00.000","1908.475"
"00:00:00.010","1955.016"
"00:00:00.020","1927.091"
"00:00:00.030","1927.091"
"00:00:00.040","1917.783"
"00:00:00.050","1917.783"
"00:00:00.060","1927.091"
"00:00:00.070","1908.475"
"00:00:00.080","1899.167"
"00:00:00.090","1880.551"
"00:00:00.100","1917.783"
"00:00:00.110","1927.091"
"00:00:00.120","1908.475"
"00:00:00.130","1917.783"
"00:00:00.140","1917.783"
"00:00:00.150","1917.783"
"00:00:00.160","1917.783"
"00:00:00.170","1917.783"
"00:00:00.180","1917.783"
"00:00:00.190","1908.475"
"00:00:00.200","1908.475"
"00:00:00.210","1899.167"
"00:00:00.220","1927.091"
"00:00:00.230","1917.783"
"00:00:00.240","1927.091"
"00:00:00.250","1908.475"
"00:00:00.260","1908.475"
"00:00:00.270","1927.091"
"00:00:00.280","1936.399"
"00:00:00.290","1927.091"
"00:00:00.300","1899.167"
"00:00:00.310","1899.167"
"00:00:00.320","1880.551"
"00:00:00.330","1927.091"
"00:00:00.340","1908.475"
"00:00:00.350","1927.091"
"00:00:00.360","1945.708"
"00:00:00.370","1899.167"
"00:00:00.380","1899.167"
"00:00:00.390","1917.783"
"00:00:00.400","1955.016"
"00:00:00.410","1908.475"
"00:00:00.420","1899.167"
"00:00:00.430","1917.783"
"00:00:00.440","1908.475"
"00:00:00.450","1917.783"
"00:00:00.460","1899.167"
"00:00:00.470","1889.859"
"00:00:00.480","1908.475"
"00:00:00.490","1908.475"
"00:00:00.500","1908.475"
"00:00:00.510","1908.475"
"00:00:00.520","1917.783"
"00:00:00.530","1889.859"
"00:00:00.540","1936.399"
"00:00:00.550","1889.859"
"00:00:00.560","1899.167"
"00:00:00.570","1908.475"
"00:00:00.580","1899.167"
"00:00:00.590","1936.399"
"00:00:00.600","1927.091"
"00:00:00.610","1908.475"
"00:00:00.620","1908.475"
"00:00:00.630","1927.091"
"00:00:00.640","1927.091"
"00:00:00.650","1908.475"
"00:00:00.660","1899.167"
"00:00:00.670","1945.708"
"00:00:00.680","1880.551"
"00:00:00.690","1927.091"
"00:00:00.700","1917.783"
"00:00:00.710","1927.091"
"00:00:00.720","1927.091"
"00:00:00.730","1917.783"
"00:00:00.740","1936.399"
"00:00:00.750","1927.091"
"00:00:00.760","1908.475"
"00:00:00.770","1927.091"
"00:00:00.780","1917.783"
"00:00:00.790","1899.167"
"00:00:00.800","1908.475"
"00:00:00.810","1917.783"
"00:00:00.820","1908.475"
"00:00:00.830","1889.859"
"00:00:00.840","1908.475"
"00:00:00.850","1889.859"
"00:00:00.860","1908.475"
"00:00:00.870","1945.708"
"00:00:00.880","1908.475"
"00:00:00.890","1908.475"
"00:00:00.900","1936.399"
"00:00:00.910","1880.551"
"00:00:00.920","1917.783"
"00:00:00.930","1908.475"
"00:00:00.940","1899.167"
"00:00:00.950","1899.167"
"00:00:00.960","1927.091"
"00:00:00.970","1908.475"
"00:00:00.980","1880.551"
"00:00:00.990","1899.167"
"00:00:01.000","1917.783"
"00:00:01.010","1908.475"
"00:00:01.020","1908.475"
"00:00:01.030","1917.783"
"00:00:01.040","1889.859"
"00:00:01.050","1927.091"
"00:00:01.060","1908.475"
"00:00:01.070","1880.551"
"00:00:01.080","1908.475"
"00:00:01.090","1899.167"
"00:00:01.100","1945.708"
"00:00:01.110","1927.091"
"00:00:01.120","1927.091"
"00:00:01.130","1899.167"
"00:00:01.140","1899.167"
"00:00:01.150","1936.399"
"00:00:01.160","1917.783"
"00:00:01.170","1917.783"
"00:00:01.180","1908.475"
"00:00:01.190","1927.091"
"00:00:01.200","1889.859"
"00:00:01.210","1908.475"
"00:00:01.220","1917.783"
"00:00:01.230","1908.475"
"00:00:01.240","1899.167"
"00:00:01.250","1917.783"
"00:00:01.260","1945.708"
"00:00:01.270","1936.399"
"00:00:01.280","1917.783"
"00:00:01.290","1908.475"
"00:00:01.300","1889.859"
"00:00:01.310","1927.091"
"00:00:01.320","1899.167"
"00:00:01.330","1871.242"
"00:00:01.340","1908.475"
"00:00:01.350","1908.475"
"00:00:01.360","1908.475"
"00:00:01.370","1917.783"
"00:00:01.380","1936.399"
"00:00:01.390","1927.091"
"00:00:01.400","1908.475"
"00:00:01.410","1880.551"
"00:00:01.420","1908.475"
"00:00:01.430","1908.475"
"00:00:01.440","1908.475"
"00:00:01.450","1908.475"
"00:00:01.460","1917.783"
"00:00:01.470","1908.475"
"00:00:01.480","1936.399"
"00:00:01.490","1917.783"
"00:00:01.500","1880.551"
"00:00:01.510","1917.783"
"00:00:01.520","1927.091"
"00:00:01.530","1927.091"
"00:00:01.540","1889.859"
"00:00:01.550","1908.475"
"00:00:01.560","1908.475"
"00:00:01.570","1871.242"
"00:00:01.580","1889.859"
"00:00:01.590","1917.783"
"00:00:01.600","1908.475"
"00:00:01.610","1899.167"
"00:00:01.620","1936.399"
"00:00:01.630","1889.859"
"00:00:01.640","1936.399"
"00:00:01.650","1908.475"
"00:00:01.660","1917.783"
"00:00:01.670","1889.859"
"00:00:01.680","1927.091"
"00:00:01.690","1899.167"
"00:00:01.700","1927.091"
"00:00:01.710","1917.783"
"00:00:01.720","1908.475"
"00:00:01.730","1917.783"
"00:00:01.740","1889.859"
"00:00:01.750","1908.475"
"00:00:01.760","1889.859"
"00:00:01.770","1908.475"
"00:00:01.780","1936.399"
"00:00:01.790","1927.091"
"00:00:01.800","1936.399"
"00:00:01.810","1936.399"
"00:00:01.820","1908.475"
"00:00:01.830","1880.551"
"00:00:01.840","1917.783"
"00:00:01.850","1927.091"
"00:00:01.860","1899.167"
"00:00:01.870","1889.859"
"00:00:01.880","1880.551"
"00:00:01.890","1899.167"
"00:00:01.900","1908.475"
"00:00:01.910","1917.783"
"00:00:01.920","1889.859"
"00:00:01.930","1908.475"
"00:00:01.940","1955.016"
"00:00:01.950","1936.399"
"00:00:01.960","1927.091"
"00:00:01.970","1917.783"
"00:00:01.980","1927.091"
"00:00:01.990","1871.242"
"00:00:02.000","1927.091"
"00:00:02.010","1927.091"
"00:00:02.020","1908.475"
"00:00:02.030","1889.859"
"00:00:02.040","1899.167"
"00:00:02.050","1889.859"
"00:00:02.060","1908.475"
"00:00:02.070","1917.783"
"00:00:02.080","1899.167"
"00:00:02.090","1908.475"
"00:00:02.100","1917.783"
"00:00:02.110","1889.859"
"00:00:02.120","1917.783"
"00:00:02.130","1936.399"
"00:00:02.140","1917.783"
"00:00:02.150","1908.475"
"00:00:02.160","1908.475"
"00:00:02.170","1945.708"
"00:00:02.180","1889.859"
"00:00:02.190","1880.551"
"00:00:02.200","1927.091"
"00:00:02.210","1889.859"
"00:00:02.220","1899.167"
"00:00:02.230","1899.167"
"00:00:02.240","1889.859"
"00:00:02.250","1880.551"
"00:00:02.260","1889.859"
"00:00:02.270","1899.167"
"00:00:02.280","1871.242"
"00:00:02.290","1917.783"
"00:00:02.300","1880.551"
"00:00:02.310","1880.551"
"00:00:02.320","1899.167"
"00:00:02.330","1871.242"
"00:00:02.340","1899.167"
"00:00:02.350","1889.859"
"00:00:02.360","1917.783"
"00:00:02.370","1899.167"
"00:00:02.380","1899.167"
"00:00:02.390","1917.783"
"00:00:02.400","1889.859"
"00:00:02.410","1908.475"
"00:00:02.420","1927.091"
"00:00:02.430","1927.091"
"00:00:02.440","1871.242"
"00:00:02.450","1927.091"
"00:00:02.460","1899.167"
"00:00:02.470","1908.475"
"00:00:02.480","1908.475"
"00:00:02.490","1908.475"
"00:00:02.500","1889.859"
"00:00:02.510","1917.783"
"00:00:02.520","1908.475"
"00:00:02.530","1899.167"
"00:00:02.540","1908.475"
"00:00:02.550","1917.783"
"00:00:02.560","1908.475"
"00:00:02.570","1936.399"
"00:00:02.580","1927.091"
"00:00:02.590","1889.859"
"00:00:02.600","1917.783"
"00:00:02.610","1889.859"
"00:00:02.620","1908.475"
"00:00:02.630","1889.859"
"00:00:02.640","1936.399"
"00:00:02.650","1917.783"
"00:00:02.660","1899.167"
"00:00:02.670","1908.475"
"00:00:02.680","1927.091"
"00:00:02.690","1917.783"
"00:00:02.700","1917.783"
"00:00:02.710","1880.551"
"00:00:02.720","1927.091"
"00:00:02.730","1899.167"
"00:00:02.740","1908.475"
"00:00:02.750","1899.167"
"00:00:02.760","1880.551"
"00:00:02.770","1927.091"
"00:00:02.780","1908.475"
"00:00:02.790","1889.859"
"00:00:02.800","1889.859"
"00:00:02.810","1899.167"
"00:00:02.820","1889.859"
"00:00:02.830","1899.167"
"00:00:02.840","1899.167"
"00:00:02.850","1908.475"
"00:00:02.860","1899.167"
"00:00:02.870","1889.859"
"00:00:02.880","1899.167"
"00:00:02.890","1908.475"
"00:00:02.900","1880.551"
"00:00:02.910","1889.859"
"00:00:02.920","1889.859"
"00:00:02.930","1899.167"
"00:00:02.940","1931.745"
"00:00:02.950","1880.551"
"00:00:02.960","1889.859"
"00:00:02.970","1871.242"
"00:00:02.980","1889.859"
"00:00:02.990","1889.859"
"00:00:03.000","1889.859"
"00:00:03.010","1889.859"
"00:00:03.020","1908.475"
"00:00:03.030","1899.167"
"00:00:03.040","1880.551"
"00:00:03.050","1889.859"
"00:00:03.060","1889.859"
"00:00:03.070","1880.551"
"00:00:03.080","1871.242"
"00:00:03.090","1917.783"
"00:00:03.100","1889.859"
"00:00:03.110","1871.242"
"00:00:03.120","1899.167"
"00:00:03.130","1908.475"
"00:00:03.140","1917.783"
"00:00:03.150","1899.167"
"00:00:03.160","1871.242"
"00:00:03.170","1871.242"
"00:00:03.180","1871.242"
"00:00:03.190","1899.167"
"00:00:03.200","1908.475"
"00:00:03.210","1880.551"
"00:00:03.220","1871.242"
"00:00:03.230","1899.167"
"00:00:03.240","1880.551"
"00:00:03.250","1889.859"
"00:00:03.260","1871.242"
"00:00:03.270","1880.551"
"00:00:03.280","1889.859"
"00:00:03.290","1889.859"
"00:00:03.300","1880.551"
"00:00:03.310","1871.242"
"00:00:03.320","1880.551"
