Time	Channel A
(s)	(V)

0.00000000	0.00000000
0.00066667	0.00000000
0.00133334	0.00000000
0.00200002	0.00000000
0.00266669	0.00000000
0.00333336	0.00000000
0.00400003	0.00000000
0.00466670	0.00000000
0.00533338	0.00000000
0.00600005	0.00000000
0.00666672	0.01870079
0.00733339	0.00000000
0.00800006	0.03746309
0.00866674	0.00000000
0.00933341	0.00000000
0.01000008	0.00000000
0.01066675	0.00000000
0.01133342	0.01870079
0.01200010	0.00000000
0.01266677	0.00000000
0.01333344	0.00000000
0.01400011	0.00000000
0.01466678	0.00000000
0.01533345	0.01870079
0.01600013	0.00000000
0.01666680	0.00000000
0.01733347	0.00000000
0.01800014	0.00000000
0.01866681	0.00000000
0.01933349	0.00000000
0.02000016	0.00000000
0.02066683	0.00000000
0.02133350	0.00000000
0.02200017	0.00000000
0.02266685	0.00000000
0.02333352	0.00000000
0.02400019	0.00000000
0.02466686	0.00000000
0.02533353	0.00000000
0.02600021	0.00000000
0.02666688	0.00000000
0.02733355	0.00000000
0.02800022	0.00000000
0.02866689	0.01870079
0.02933357	0.00000000
0.03000024	0.00000000
0.03066691	0.00000000
0.03133358	0.00000000
0.03200025	0.01870079
0.03266693	0.00000000
0.03333360	0.01870079
0.03400027	-0.07492618
0.03466694	0.01870079
0.03533361	0.00000000
0.03600029	0.00000000
0.03666696	0.00000000
0.03733363	0.00000000
0.03800030	0.00000000
0.03866697	0.00000000
0.03933365	0.00000000
0.04000032	0.00000000
0.04066699	0.00000000
0.04133366	0.00000000
0.04200033	0.00000000
0.04266701	0.00000000
0.04333368	0.00000000
0.04400035	0.00000000
0.04466702	0.00000000
0.04533369	0.01870079
0.04600036	0.00000000
0.04666704	0.00000000
0.04733371	0.01870079
0.04800038	0.00000000
0.04866705	0.00000000
0.04933372	0.00000000
0.05000040	0.00000000
0.05066707	0.00000000
0.05133374	0.00000000
0.05200041	0.00000000
0.05266708	0.01870079
0.05333376	0.01870079
0.05400043	0.01870079
0.05466710	0.01870079
0.05533377	0.00000000
0.05600044	0.00000000
0.05666712	0.00000000
0.05733379	0.00000000
0.05800046	0.00000000
0.05866713	0.00000000
0.05933380	0.00000000
0.06000048	0.00000000
0.06066715	0.01870079
0.06133382	0.00000000
0.06200049	0.00000000
0.06266716	0.00000000
0.06333384	0.01870079
0.06400051	0.00000000
0.06466718	0.00000000
0.06533385	0.00000000
0.06600052	0.00000000
0.06666720	0.00000000
0.06733387	0.00000000
0.06800054	0.00000000
0.06866721	0.00000000
0.06933388	0.00000000
0.07000056	0.01870079
0.07066723	0.00000000
0.07133390	0.00000000
0.07200057	0.00000000
0.07266724	0.00000000
0.07333392	0.00000000
0.07400059	0.00000000
0.07466726	0.00000000
0.07533393	0.00000000
0.07600060	0.00000000
0.07666727	0.00000000
0.07733395	0.00000000
0.07800062	0.00000000
0.07866729	0.00000000
0.07933396	0.00000000
0.08000063	0.00000000
0.08066731	0.01870079
0.08133398	0.00000000
0.08200065	0.00000000
0.08266732	0.00000000
0.08333399	0.00000000
0.08400067	0.00000000
0.08466734	0.00000000
0.08533401	0.00000000
0.08600068	0.00000000
0.08666735	0.01870079
0.08733403	0.00000000
0.08800070	0.00000000
0.08866737	0.00000000
0.08933404	0.00000000
0.09000071	0.00000000
0.09066739	0.01870079
0.09133406	0.01870079
0.09200073	0.01870079
0.09266740	0.00000000
0.09333407	0.00000000
0.09400075	0.01870079
0.09466742	0.00000000
0.09533409	0.00000000
0.09600076	0.00000000
0.09666743	0.00000000
0.09733411	0.00000000
0.09800078	0.00000000
0.09866745	0.00000000
0.09933412	0.00000000
0.10000079	0.00000000
0.10066747	0.00000000
0.10133414	-0.01870079
0.10200081	0.00000000
0.10266748	0.00000000
0.10333415	0.00000000
0.10400083	0.00000000
0.10466750	0.00000000
0.10533417	0.00000000
0.10600084	0.00000000
0.10666751	0.00000000
0.10733418	0.00000000
0.10800086	0.00000000
0.10866753	0.01870079
0.10933420	0.00000000
0.11000087	0.01870079
0.11066754	0.00000000
0.11133422	0.01870079
0.11200089	0.00000000
0.11266756	0.00000000
0.11333423	0.00000000
0.11400090	0.00000000
0.11466758	0.00000000
0.11533425	0.00000000
0.11600092	0.00000000
0.11666759	0.00000000
